Id;Suggested;Title;IsLeaf;IsAdoptedChild;AverageDepth;Level;ConceptDetailsId;ParentId
A17.8;;A17.8_Other tuberculosis of nervous system;1;0;4;4;NULL;A17
A17.9;;A17.9_Tuberculosis of nervous system, unspecified;1;0;4;4;NULL;A17
A18;;A18_Tuberculosis of other organs;0;0;3;3;NULL;A15-A19
A18.0;;A18.0_Tuberculosis of bones and joints;1;0;4;4;NULL;A18
A18.1;;A18.1_Tuberculosis of genitourinary system;1;0;4;4;NULL;A18
A18.2;;A18.2_Tuberculous peripheral lymphadenopathy;1;0;4;4;NULL;A18
A18.3;;A18.3_Tuberculosis of intestines, peritoneum and mesenteric glands;1;0;4;4;NULL;A18
A18.4;;A18.4_Tuberculosis of skin and subcutaneous tissue;1;0;4;4;NULL;A18
A18.5;;A18.5_Tuberculosis of eye;1;0;4;4;NULL;A18
A18.6;;A18.6_Tuberculosis of ear;1;0;4;4;NULL;A18
A18.7;;A18.7_Tuberculosis of adrenal glands;1;0;4;4;NULL;A18
A18.8;;A18.8_Tuberculosis of other specified organs;1;0;4;4;NULL;A18
A19;;A19_Miliary tuberculosis;0;0;3;3;NULL;A15-A19
A19.0;;A19.0_Acute miliary tuberculosis of a single specified site;1;0;4;4;NULL;A19
A19.1;;A19.1_Acute miliary tuberculosis of multiple sites;1;0;4;4;NULL;A19
A19.2;;A19.2_Acute miliary tuberculosis, unspecified;1;0;4;4;NULL;A19
A19.8;;A19.8_Other miliary tuberculosis;1;0;4;4;NULL;A19
A19.9;;A19.9_Miliary tuberculosis, unspecified;1;0;4;4;NULL;A19
A20;;A20_Plague;0;0;3;3;NULL;A20-A28
A20.0;;A20.0_Bubonic plague;1;0;4;4;NULL;A20
A20.1;;A20.1_Cellulocutaneous plague;1;0;4;4;NULL;A20
A20.2;;A20.2_Pneumonic plague;1;0;4;4;NULL;A20
A20.3;;A20.3_Plague meningitis;1;0;4;4;NULL;A20
A20.7;;A20.7_Septicaemic plague;1;0;4;4;NULL;A20
A20.8;;A20.8_Other forms of plague;1;0;4;4;NULL;A20
A20.9;;A20.9_Plague, unspecified;1;0;4;4;NULL;A20
A20-A28;;A20-A28_Certain zoonotic bacterial diseases;0;0;2;2;NULL;I
A21;;A21_Tularaemia;0;0;3;3;NULL;A20-A28
A21.0;;A21.0_Ulceroglandular tularaemia;1;0;4;4;NULL;A21
A21.1;;A21.1_Oculoglandular tularaemia;1;0;4;4;NULL;A21
A21.2;;A21.2_Pulmonary tularaemia;1;0;4;4;NULL;A21
A21.3;;A21.3_Gastrointestinal tularaemia;1;0;4;4;NULL;A21
A21.7;;A21.7_Generalized tularaemia;1;0;4;4;NULL;A21
A21.8;;A21.8_Other forms of tularaemia;1;0;4;4;NULL;A21
A21.9;;A21.9_Tularaemia, unspecified;1;0;4;4;NULL;A21
A22;;A22_Anthrax;0;0;3;3;NULL;A20-A28
A22.0;;A22.0_Cutaneous anthrax;1;0;4;4;NULL;A22
A22.1;;A22.1_Pulmonary anthrax;1;0;4;4;NULL;A22
A22.2;;A22.2_Gastrointestinal anthrax;1;0;4;4;NULL;A22
A22.7;;A22.7_Anthrax sepsis;1;0;4;4;NULL;A22
A22.8;;A22.8_Other forms of anthrax;1;0;4;4;NULL;A22
A22.9;;A22.9_Anthrax, unspecified;1;0;4;4;NULL;A22
A23;;A23_Brucellosis;0;0;3;3;NULL;A20-A28
A23.0;;A23.0_Brucellosis due to Brucella melitensis;1;0;4;4;NULL;A23
A23.1;;A23.1_Brucellosis due to Brucella abortus;1;0;4;4;NULL;A23
A23.2;;A23.2_Brucellosis due to Brucella suis;1;0;4;4;NULL;A23
A23.3;;A23.3_Brucellosis due to Brucella canis;1;0;4;4;NULL;A23
A23.8;;A23.8_Other brucellosis;1;0;4;4;NULL;A23
A23.9;;A23.9_Brucellosis, unspecified;1;0;4;4;NULL;A23
A24;;A24_Glanders and melioidosis;0;0;3;3;NULL;A20-A28
A24.0;;A24.0_Glanders;1;0;4;4;NULL;A24
A24.1;;A24.1_Acute and fulminating melioidosis;1;0;4;4;NULL;A24
A24.2;;A24.2_Subacute and chronic melioidosis;1;0;4;4;NULL;A24
A24.3;;A24.3_Other melioidosis;1;0;4;4;NULL;A24
A24.4;;A24.4_Melioidosis, unspecified;1;0;4;4;NULL;A24
A25;;A25_Rat-bite fevers;0;0;3;3;NULL;A20-A28
A25.0;;A25.0_Spirillosis;1;0;4;4;NULL;A25
A25.1;;A25.1_Streptobacillosis;1;0;4;4;NULL;A25
A25.9;;A25.9_Rat-bite fever, unspecified;1;0;4;4;NULL;A25
A26;;A26_Erysipeloid;0;0;3;3;NULL;A20-A28
A26.0;;A26.0_Cutaneous erysipeloid;1;0;4;4;NULL;A26
A26.7;;A26.7_Erysipelothrix sepsis;1;0;4;4;NULL;A26
A26.8;;A26.8_Other forms of erysipeloid;1;0;4;4;NULL;A26
A26.9;;A26.9_Erysipeloid, unspecified;1;0;4;4;NULL;A26
A27;;A27_Leptospirosis;0;0;3;3;NULL;A20-A28
A27.0;;A27.0_Leptospirosis icterohaemorrhagica;1;0;4;4;NULL;A27
A27.8;;A27.8_Other forms of leptospirosis;1;0;4;4;NULL;A27
A27.9;;A27.9_Leptospirosis, unspecified;1;0;4;4;NULL;A27
A28;;A28_Other zoonotic bacterial diseases, not elsewhere classified;0;0;3;3;NULL;A20-A28
A28.0;;A28.0_Pasteurellosis;1;0;4;4;NULL;A28
A28.1;;A28.1_Cat-scratch disease;1;0;4;4;NULL;A28
A28.2;;A28.2_Extraintestinal yersiniosis;1;0;4;4;NULL;A28
A28.8;;A28.8_Other specified zoonotic bacterial diseases, not elsewhere classified;1;0;4;4;NULL;A28
A28.9;;A28.9_Zoonotic bacterial disease, unspecified;1;0;4;4;NULL;A28
A30;;A30_Leprosy [Hansen disease];0;0;3;3;NULL;A30-A49
A30.0;;A30.0_Indeterminate leprosy;1;0;4;4;NULL;A30
A30.1;;A30.1_Tuberculoid leprosy;1;0;4;4;NULL;A30
A30.2;;A30.2_Borderline tuberculoid leprosy;1;0;4;4;NULL;A30
A30.3;;A30.3_Borderline leprosy;1;0;4;4;NULL;A30
A30.4;;A30.4_Borderline lepromatous leprosy;1;0;4;4;NULL;A30
A30.5;;A30.5_Lepromatous leprosy;1;0;4;4;NULL;A30
A30.8;;A30.8_Other forms of leprosy;1;0;4;4;NULL;A30
A30.9;;A30.9_Leprosy, unspecified;1;0;4;4;NULL;A30
A30-A49;;A30-A49_Other bacterial diseases;0;0;2;2;NULL;I
A31;;A31_Infection due to other mycobacteria;0;0;3;3;NULL;A30-A49
A31.0;;A31.0_Pulmonary mycobacterial infection;1;0;4;4;NULL;A31
A31.1;;A31.1_Cutaneous mycobacterial infection;1;0;4;4;NULL;A31
A31.8;;A31.8_Other mycobacterial infections;1;0;4;4;NULL;A31
A31.9;;A31.9_Mycobacterial infection, unspecified;1;0;4;4;NULL;A31
A32;;A32_Listeriosis;0;0;3;3;NULL;A30-A49
A32.0;;A32.0_Cutaneous listeriosis;1;0;4;4;NULL;A32
A32.1;;A32.1_Listerial meningitis and meningoencephalitis;1;0;4;4;NULL;A32
A32.7;;A32.7_Listerial sepsis;1;0;4;4;NULL;A32
A32.8;;A32.8_Other forms of listeriosis;1;0;4;4;NULL;A32
A32.9;;A32.9_Listeriosis, unspecified;1;0;4;4;NULL;A32
A33;;A33_Tetanus neonatorum;1;0;3;3;NULL;A30-A49
A34;;A34_Obstetrical tetanus;1;0;3;3;NULL;A30-A49
A35;;A35_Other tetanus;1;0;3;3;NULL;A30-A49
A36;;A36_Diphtheria;0;0;3;3;NULL;A30-A49
A36.0;;A36.0_Pharyngeal diphtheria;1;0;4;4;NULL;A36
A36.1;;A36.1_Nasopharyngeal diphtheria;1;0;4;4;NULL;A36
A36.2;;A36.2_Laryngeal diphtheria;1;0;4;4;NULL;A36
A36.3;;A36.3_Cutaneous diphtheria;1;0;4;4;NULL;A36
A36.8;;A36.8_Other diphtheria;1;0;4;4;NULL;A36
A36.9;;A36.9_Diphtheria, unspecified;1;0;4;4;NULL;A36
A37;;A37_Whooping cough;0;0;3;3;NULL;A30-A49
A37.0;;A37.0_Whooping cough due to Bordetella pertussis;1;0;4;4;NULL;A37
A37.1;;A37.1_Whooping cough due to Bordetella parapertussis;1;0;4;4;NULL;A37
A37.8;;A37.8_Whooping cough due to other Bordetella species;1;0;4;4;NULL;A37
A37.9;;A37.9_Whooping cough, unspecified;1;0;4;4;NULL;A37
A38;;A38_Scarlet fever;1;0;3;3;NULL;A30-A49
A39;;A39_Meningococcal infection;0;0;3;3;NULL;A30-A49
A39.0;;A39.0_Meningococcal meningitis;1;0;4;4;NULL;A39
A39.1;;A39.1_Waterhouse-Friderichsen syndrome;1;0;4;4;NULL;A39
A39.2;;A39.2_Acute meningococcaemia;1;0;4;4;NULL;A39
A39.3;;A39.3_Chronic meningococcaemia;1;0;4;4;NULL;A39
A39.4;;A39.4_Meningococcaemia, unspecified;1;0;4;4;NULL;A39
A39.5;;A39.5_Meningococcal heart disease;1;0;4;4;NULL;A39
A39.8;;A39.8_Other meningococcal infections;1;0;4;4;NULL;A39
A39.9;;A39.9_Meningococcal infection, unspecified;1;0;4;4;NULL;A39
A40;;A40_Streptococcal sepsis;0;0;3;3;NULL;A30-A49
A40.0;;A40.0_Sepsis due to streptococcus, group A;1;0;4;4;NULL;A40
A40.1;;A40.1_Sepsis due to streptococcus, group B;1;0;4;4;NULL;A40
A40.2;;A40.2_Sepsis due to streptococcus, group D and enterococcus;1;0;4;4;NULL;A40
A40.3;;A40.3_Sepsis due to Streptococcus pneumoniae;1;0;4;4;NULL;A40
A40.8;;A40.8_Other streptococcal sepsis;1;0;4;4;NULL;A40
A40.9;;A40.9_Streptococcal sepsis, unspecified;1;0;4;4;NULL;A40
A41;;A41_Other sepsis;0;0;3;3;NULL;A30-A49
A41.0;;A41.0_Sepsis due to Staphylococcus aureus;1;0;4;4;NULL;A41
A41.1;;A41.1_Sepsis due to other specified staphylococcus;1;0;4;4;NULL;A41
A41.2;;A41.2_Sepsis due to unspecified staphylococcus;1;0;4;4;NULL;A41
A41.3;;A41.3_Sepsis due to Haemophilus influenzae;1;0;4;4;NULL;A41
A41.4;;A41.4_Sepsis due to anaerobes;1;0;4;4;NULL;A41
A41.5;;A41.5_Sepsis due to other Gram-negative organisms;1;0;4;4;NULL;A41
A41.8;;A41.8_Other specified sepsis;1;0;4;4;NULL;A41
A41.9;;A41.9_Sepsis, unspecified;1;0;4;4;NULL;A41
A42;;A42_Actinomycosis;0;0;3;3;NULL;A30-A49
A42.0;;A42.0_Pulmonary actinomycosis;1;0;4;4;NULL;A42
A42.1;;A42.1_Abdominal actinomycosis;1;0;4;4;NULL;A42
A42.2;;A42.2_Cervicofacial actinomycosis;1;0;4;4;NULL;A42
A42.7;;A42.7_Actinomycotic sepsis;1;0;4;4;NULL;A42
A42.8;;A42.8_Other forms of actinomycosis;1;0;4;4;NULL;A42
A42.9;;A42.9_Actinomycosis, unspecified;1;0;4;4;NULL;A42
A43;;A43_Nocardiosis;0;0;3;3;NULL;A30-A49
A43.0;;A43.0_Pulmonary nocardiosis;1;0;4;4;NULL;A43
A43.1;;A43.1_Cutaneous nocardiosis;1;0;4;4;NULL;A43
A43.8;;A43.8_Other forms of nocardiosis;1;0;4;4;NULL;A43
A43.9;;A43.9_Nocardiosis, unspecified;1;0;4;4;NULL;A43
A44;;A44_Bartonellosis;0;0;3;3;NULL;A30-A49
A44.0;;A44.0_Systemic bartonellosis;1;0;4;4;NULL;A44
A44.1;;A44.1_Cutaneous and mucocutaneous bartonellosis;1;0;4;4;NULL;A44
A44.8;;A44.8_Other forms of bartonellosis;1;0;4;4;NULL;A44
A44.9;;A44.9_Bartonellosis, unspecified;1;0;4;4;NULL;A44
A46;;A46_Erysipelas;1;0;3;3;NULL;A30-A49
A48;;A48_Other bacterial diseases, not elsewhere classified;0;0;3;3;NULL;A30-A49
A48.0;;A48.0_Gas gangrene;1;0;4;4;NULL;A48
A48.1;;A48.1_Legionnaires disease;1;0;4;4;NULL;A48
A48.2;;A48.2_Nonpneumonic Legionnaires disease [Pontiac fever];1;0;4;4;NULL;A48
A48.3;;A48.3_Toxic shock syndrome;1;0;4;4;NULL;A48
A48.4;;A48.4_Brazilian purpuric fever;1;0;4;4;NULL;A48
A48.8;;A48.8_Other specified bacterial diseases;1;0;4;4;NULL;A48
A49;;A49_Bacterial infection of unspecified site;0;0;3;3;NULL;A30-A49
A49.0;;A49.0_Staphylococcal infection, unspecified site;1;0;4;4;NULL;A49
A49.1;;A49.1_Streptococcal and enterococcal infection, unspecified site;1;0;4;4;NULL;A49
A49.2;;A49.2_Haemophilus influenzae infection, unspecified site;1;0;4;4;NULL;A49
A49.3;;A49.3_Mycoplasma infection, unspecified site;1;0;4;4;NULL;A49
A49.8;;A49.8_Other bacterial infections of unspecified site;1;0;4;4;NULL;A49
A49.9;;A49.9_Bacterial infection, unspecified;1;0;4;4;NULL;A49
A50;;A50_Congenital syphilis;0;0;3;3;NULL;A50-A64
A50.0;;A50.0_Early congenital syphilis, symptomatic;1;0;4;4;NULL;A50
A50.1;;A50.1_Early congenital syphilis, latent;1;0;4;4;NULL;A50
A50.2;;A50.2_Early congenital syphilis, unspecified;1;0;4;4;NULL;A50
A50.3;;A50.3_Late congenital syphilitic oculopathy;1;0;4;4;NULL;A50
A50.4;;A50.4_Late congenital neurosyphilis [juvenile neurosyphilis];1;0;4;4;NULL;A50
A50.5;;A50.5_Other late congenital syphilis, symptomatic;1;0;4;4;NULL;A50
A50.6;;A50.6_Late congenital syphilis, latent;1;0;4;4;NULL;A50
A50.7;;A50.7_Late congenital syphilis, unspecified;1;0;4;4;NULL;A50
A50.9;;A50.9_Congenital syphilis, unspecified;1;0;4;4;NULL;A50
A50-A64;;A50-A64_Infections with a predominantly sexual mode of transmission;0;0;2;2;NULL;I
A51;;A51_Early syphilis;0;0;3;3;NULL;A50-A64
A51.0;;A51.0_Primary genital syphilis;1;0;4;4;NULL;A51
A51.1;;A51.1_Primary anal syphilis;1;0;4;4;NULL;A51
A51.2;;A51.2_Primary syphilis of other sites;1;0;4;4;NULL;A51
A51.3;;A51.3_Secondary syphilis of skin and mucous membranes;1;0;4;4;NULL;A51
A51.4;;A51.4_Other secondary syphilis;1;0;4;4;NULL;A51
A51.5;;A51.5_Early syphilis, latent;1;0;4;4;NULL;A51
A51.9;;A51.9_Early syphilis, unspecified;1;0;4;4;NULL;A51
A52;;A52_Late syphilis;0;0;3;3;NULL;A50-A64
A52.0;;A52.0_Cardiovascular syphilis;1;0;4;4;NULL;A52
A52.1;;A52.1_Symptomatic neurosyphilis;1;0;4;4;NULL;A52
A52.2;;A52.2_Asymptomatic neurosyphilis;1;0;4;4;NULL;A52
A52.3;;A52.3_Neurosyphilis, unspecified;1;0;4;4;NULL;A52
A52.7;;A52.7_Other symptomatic late syphilis;1;0;4;4;NULL;A52
A52.8;;A52.8_Late syphilis, latent;1;0;4;4;NULL;A52
A52.9;;A52.9_Late syphilis, unspecified;1;0;4;4;NULL;A52
A53;;A53_Other and unspecified syphilis;0;0;3;3;NULL;A50-A64
A53.0;;A53.0_Latent syphilis, unspecified as early or late;1;0;4;4;NULL;A53
A53.9;;A53.9_Syphilis, unspecified;1;0;4;4;NULL;A53
A54;;A54_Gonococcal infection;0;0;3;3;NULL;A50-A64
A54.0;;A54.0_Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess;1;0;4;4;NULL;A54
A54.1;;A54.1_Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess;1;0;4;4;NULL;A54
A54.2;;A54.2_Gonococcal pelviperitonitis and other gonococcal genitourinary infections;1;0;4;4;NULL;A54
A54.3;;A54.3_Gonococcal infection of eye;1;0;4;4;NULL;A54
A54.4;;A54.4_Gonococcal infection of musculoskeletal system;1;0;4;4;NULL;A54
A54.5;;A54.5_Gonococcal pharyngitis;1;0;4;4;NULL;A54
A54.6;;A54.6_Gonococcal infection of anus and rectum;1;0;4;4;NULL;A54
A54.8;;A54.8_Other gonococcal infections;1;0;4;4;NULL;A54
A54.9;;A54.9_Gonococcal infection, unspecified;1;0;4;4;NULL;A54
A55;;A55_Chlamydial lymphogranuloma (venereum);1;0;3;3;NULL;A50-A64
A56;;A56_Other sexually transmitted chlamydial diseases;0;0;3;3;NULL;A50-A64
A56.0;;A56.0_Chlamydial infection of lower genitourinary tract;1;0;4;4;NULL;A56
A56.1;;A56.1_Chlamydial infection of pelviperitoneum and other genitourinary organs;1;0;4;4;NULL;A56
A56.2;;A56.2_Chlamydial infection of genitourinary tract, unspecified;1;0;4;4;NULL;A56
A56.3;;A56.3_Chlamydial infection of anus and rectum;1;0;4;4;NULL;A56
A56.4;;A56.4_Chlamydial infection of pharynx;1;0;4;4;NULL;A56
A56.8;;A56.8_Sexually transmitted chlamydial infection of other sites;1;0;4;4;NULL;A56
A57;;A57_Chancroid;1;0;3;3;NULL;A50-A64
A58;;A58_Granuloma inguinale;1;0;3;3;NULL;A50-A64
A59;;A59_Trichomoniasis;0;0;3;3;NULL;A50-A64
A59.0;;A59.0_Urogenital trichomoniasis;1;0;4;4;NULL;A59
A59.8;;A59.8_Trichomoniasis of other sites;1;0;4;4;NULL;A59
A59.9;;A59.9_Trichomoniasis, unspecified;1;0;4;4;NULL;A59
A60;;A60_Anogenital herpesviral [herpes simplex] infection;0;0;3;3;NULL;A50-A64
A60.0;;A60.0_Herpesviral infection of genitalia and urogenital tract;1;0;4;4;NULL;A60
A60.1;;A60.1_Herpesviral infection of perianal skin and rectum;1;0;4;4;NULL;A60
A60.9;;A60.9_Anogenital herpesviral infection, unspecified;1;0;4;4;NULL;A60
A63;;A63_Other predominantly sexually transmitted diseases, not elsewhere classified;0;0;3;3;NULL;A50-A64
A63.0;;A63.0_Anogenital (venereal) warts;1;0;4;4;NULL;A63
A63.8;;A63.8_Other specified predominantly sexually transmitted diseases;1;0;4;4;NULL;A63
A64;;A64_Unspecified sexually transmitted disease;1;0;3;3;NULL;A50-A64
A65;;A65_Nonvenereal syphilis;1;0;3;3;NULL;A65-A69
A65-A69;;A65-A69_Other spirochaetal diseases;0;0;2;2;NULL;I
A66;;A66_Yaws;0;0;3;3;NULL;A65-A69
A66.0;;A66.0_Initial lesions of yaws;1;0;4;4;NULL;A66
A66.1;;A66.1_Multiple papillomata and wet crab yaws;1;0;4;4;NULL;A66
A66.2;;A66.2_Other early skin lesions of yaws;1;0;4;4;NULL;A66
A66.3;;A66.3_Hyperkeratosis of yaws;1;0;4;4;NULL;A66
A66.4;;A66.4_Gummata and ulcers of yaws;1;0;4;4;NULL;A66
A66.5;;A66.5_Gangosa;1;0;4;4;NULL;A66
A66.6;;A66.6_Bone and joint lesions of yaws;1;0;4;4;NULL;A66
A66.7;;A66.7_Other manifestations of yaws;1;0;4;4;NULL;A66
A66.8;;A66.8_Latent yaws;1;0;4;4;NULL;A66
A66.9;;A66.9_Yaws, unspecified;1;0;4;4;NULL;A66
A67;;A67_Pinta [carate];0;0;3;3;NULL;A65-A69
A67.0;;A67.0_Primary lesions of pinta;1;0;4;4;NULL;A67
A67.1;;A67.1_Intermediate lesions of pinta;1;0;4;4;NULL;A67
A67.2;;A67.2_Late lesions of pinta;1;0;4;4;NULL;A67
A67.3;;A67.3_Mixed lesions of pinta;1;0;4;4;NULL;A67
